metagenre,vol,num,author,author_std,title,subtitle,editorial,genre,city,publisher,year,series,pages,printrun,price,contents
folk,1918-1931,86,"Азаров, К.; Мазуркевич, В.",МазуркевичВ,Ковер-самолет,nan,nan,nan,Л.; М.,Радуга,1926.0,nan,11.0,30000.0,0.23,nan
folk,1918-1931,87,"Азаров, К.; Мазуркевич, В.",АзаровК,Ковер-самолет,nan,Изд. 3-е,nan,Л.,Радуга,1930.0,nan,11.0,80000.0,0.1,nan
fic,1918-1931,87,"Азаров, К.; Мазуркевич, В.",МазуркевичВ,Ковер-самолет,nan,Изд. 3-е,nan,Л.,Радуга,1930.0,nan,11.0,80000.0,0.1,nan
method,1918-1931,88,NOAUTHOR,nan,АЗБУКА,nan,Рис. Н. Лемана.,nan,М.,Акад. пед. наук СССР,1924.0,nan,32.0,3000.0,nan,nan
method,1918-1931,88а,NOAUTHOR,nan,АЗБУКА,nan,Изд. 2-е,nan,М.,изд. автора,1924.0,nan,32.0,10000.0,nan,nan
method,1918-1931,89,NOAUTHOR,nan,АЗБУКА,nan,Рис. А. Ананова.,nan,Л.,Радуга,1924.0,nan,14.0,20000.0,nan,nan
coloring,1918-1931,90,NOAUTHOR,nan,АЗБУКА,Раскраска,Рис. Бруни и Коршикова.,nan,Л.; М.,Радуга,1928.0,nan,10.0,20000.0,0.3,nan
fic,1918-1931,91,NOAUTHOR,nan,АЗБУКА-КРОШКА,nan,nan,nan,Одесса,БИП,1928.0,nan,12.0,10000.0,0.6,nan
method,1918-1931,92,NOAUTHOR,nan,АЗЕРБАЙДЖАНСКАЯ ПИОНЕРИЯ К VIII СЪЕЗДУ АЛКСМ,nan,nan,nan,Баку,ЦБ ДКО при ЦК AЛKCM,1929.0,nan,27.0,2000.0,nan,nan
method,1918-1931,95,"Акодус, Я. И.",АкодусЯИ,Будь готов к санитарной обороне,nan,nan,nan,М.,Огиз—Молодая гвардия,1930.0,"Библиотека пионера-активиста. Серия «Пионер, крепи оборону страны»",32.0,15000.0,0.12,nan
method,1918-1931,96,"Акодус, Я. И.",АкодусЯИ,Будь готов к санитарной обороне,nan,Изд. 2-е,nan,М.; Л.,Огиз—Молодая гвардия,1931.0,"Библиотека пионера-активиста. Серия «Пионер, крепи оборону страны»",32.0,30100.0,0.12,nan
folk,1918-1931,97,Аксагорская,Аксагорская,Серпок и молоток,nan,Рис. А. Комарова.,nan,М.,Г. Ф. Мириманов,1925.0,Библиотека школьника,23.0,10000.0,0.35,nan
nonfic,1918-1931,100,"Актан, Г. А.[Гильгендорф].",АктанГА,Белая шахта,Экскурсия на соляной рудник в Донбассе,nan,nan,М.; Л.,Огиз—Молодая гвардия,1926.0,Библиотека юного пионера,70.0,10000.0,0.25,nan
method,1918-1931,101,"Актан, Г. А.[Гильгендорф].",АктанГА,Пионерам о Красном флоте,nan,Предисл. В.  Зофа.,nan,М.,Новая Москва,1925.0,Библиотека юного пионера,76.0,10000.0,0.3,nan
method,1918-1931,102,"Актан, Г. А.[Гильгендорф].",АктанГА,"Пионерам о лыжах, коньках и салазках",nan,nan,nan,М.,Новая Москва,1925.0,Библиотека юного пионера,75.0,10000.0,0.3,nan
method,1918-1931,103,"Актан, Г. А.[Гильгендорф].",АктанГА,"Пионерам о лыжах, коньках и салазках",nan,Изд. 2-е,nan,М.,Огиз—Физкультура и туризм,1931.0,Библиотека юного пионера,40.0,10000.0,0.45,nan
method,1918-1931,104,"Акулов, Ф.",АкуловФ,Отцы и дети,Профсоюзы и пионеры,nan,nan,М.,Огиз—Молодая гвардия,1929.0,Библиотека пионерского слета. Серия «В дни слета»,39.0,15000.0,0.1,nan
folk,1918-1931,147,NOAUTHOR,nan,АЛАДИН и ВОЛШЕБНАЯ ЛАМПА,nan,Рис. Н. Ульянова.,nan,М.,I. Кнебель,1918.0,nan,10.0,5000.0,nan,nan
nonfic,1918-1931,150,"Алампиев, П.",АлампиевП,История транспорта,nan,nan,nan,Харьков,Всеукр. о-во содейств. юному ленинцу,1925.0,Библиотека юного ленинца,52.0,10000.0,0.14,nan
method,1918-1931,186,"Албычев, П.; Чикин, А.",ЧикинАА,Стереоскоп,nan,nan,nan,Л.,Научное кн-во,1928.0,Библиотека журн. «В мастерской природы». Для умелых рук,43.0,5000.0,0.45,nan
method,1918-1931,187,"Алдошин, Н.",АлдошинН,Детская куроводная артель,nan,nan,nan,Орел,изд. Орловск. окр. бюро ДКО и ДТСХС,1930.0,nan,15.0,800.0,nan,nan
method,1918-1931,188,"Алдошин, Н.",АлдошинН,Детский колхоз,nan,nan,nan,Орел,изд. Орловск. окр. бюро ДКО и ДТСХС,1930.0,nan,20.0,800.0,nan,nan
fic,1918-1931,192,"Александров, В.",АлександровВ,О Лене,nan,nan,nan,Харьков,Юный ленинец,1925.0,Библиотека юного ленинца,68.0,20000.0,0.2,nan
nonfic,1918-1931,193,"Александров, В.; Котов, И.; Мушкин, М.",АлександровВ,Фабрика имени Степана Халтурина,nan,nan,nan,М.,Учпедгиз,1931.0,Рабкоры-ударники—политехнической школе. Серия под общей редакцией М. А. Сергеева,88.0,15000.0,0.45,nan
nonfic,1918-1931,193,"Александров, В.; Котов, И.; Мушкин, М.",КотовИ,Фабрика имени Степана Халтурина,nan,nan,nan,М.,Учпедгиз,1931.0,Рабкоры-ударники—политехнической школе. Серия под общей редакцией М. А. Сергеева,88.0,15000.0,0.45,nan
nonfic,1918-1931,193,"Александров, В.; Котов, И.; Мушкин, М.",МушкинМ,Фабрика имени Степана Халтурина,nan,nan,nan,М.,Учпедгиз,1931.0,Рабкоры-ударники—политехнической школе. Серия под общей редакцией М. А. Сергеева,88.0,15000.0,0.45,nan
fic,1918-1931,199,"Алексеев, В.",АлексеевВ,Сэм и Дик,Эпизод из эпохи гражданской войны Северо-Америк. штатов,Рис. М. Шервинской.,nan,М.,Работник просвещения,1928.0,Читальня советской школы,35.0,10000.0,0.22,nan
nonfic,1918-1931,209,"Алелекков, Л.",АлелекковЛ,Фабрика инженеров,nan,nan,nan,М.,Огиз—Молодая гвардия,1930.0,Деритесь за политехнизм,48.0,30100.0,0.13,nan
fic,1918-1931,211,"Алешин, В.",АлешинВ,Пирог,nan,nan,nan,М.,Гиз,1928.0,Новая детская библиотека,14.0,35000.0,0.5,nan
method,1918-1931,212,"Алешин, В.",АлешинВ,Отдых юного пионера,nan,nan,nan,Ростов-Дон,Акад. пед. наук СССР,1925.0,Библиотека пионера,34.0,10000.0,0.15,nan
folk,1918-1931,213,NOAUTHOR,nan,АЛИ-БАБА или СОРОК РАЗБОЙНИКОВ,nan,nan,nan,М.,И. Д. Сытин,1918.0,nan,39.0,10000.0,nan,nan
fic,1918-1931,281,Алфеевский; Лебедева,Алфеевский,На якоре,Книжка-картинка,nan,nan,М.,Огиз—Молодая гвардия,1931.0,nan,12.0,25000.0,0.3,nan
fic,1918-1931,281,Алфеевский; Лебедева,ЛебедеваТ,На якоре,Книжка-картинка,nan,nan,М.,Огиз—Молодая гвардия,1931.0,nan,12.0,25000.0,0.3,nan
method,1918-1931,282,Алфеевский; Лебедева,Алфеевский,Парк культуры и отдыха,Книжка-картинка,nan,nan,М.,Гиз,1930.0,nan,16.0,25000.0,0.4,nan
fic,1918-1931,282,Алфеевский; Лебедева,ЛебедеваТ,Парк культуры и отдыха,Книжка-картинка,nan,nan,М.,Гиз,1930.0,nan,16.0,25000.0,0.4,nan
nonfic,1918-1931,288,"Алымов, В.",АлымовВ,Лопари,nan,nan,nan,М.,Крестьянская газета,1930.0,Библиотека «Дружные ребята»,63.0,30000.0,0.15,nan
coloring,1918-1931,289,NOAUTHOR,nan,АЛЬБОМ ДЛЯ ВЫПИЛИВАНИЯ,nan,nan,nan,Л.,Акад. пед. наук СССР,1929.0,Библиотека журн. «В мастерской природы»,16.0,5000.0,1.0,nan
coloring,1918-1931,290,NOAUTHOR,nan,АЛЬБОМ ДЛЯ ВЫРЕЗЫВАНИЯ И СКЛЕИВАНИЯ,nan,nan,nan,М.,Акад. пед. наук СССР,1924.0,nan,6.0,10000.0,nan,nan
coloring,1918-1931,291,NOAUTHOR,nan,АЛЬБОМ ДЛЯ ВЫРЕЗЫВАНИЯ И СКЛЕИВАНИЯ,nan,Вып. 1-й. В. Денисов. Модели,nan,М.,Г. Ф. Мириманов,nan,nan,nan,nan,0.75,nan
coloring,1918-1931,291а,NOAUTHOR,nan,АЛЬБОМ ДЛЯ ВЫРЕЗЫВАНИЯ И СКЛЕИВАНИЯ,nan,Вып. 3-й. Игрушки-самоделки,nan,М.,Г. Ф. Мириманов,1925.0,nan,7.0,10000.0,0.75,nan
coloring,1918-1931,292,NOAUTHOR,nan,АЛЬБОМ ДЛЯ ВЫРЕЗЫВАНИЯ И СКЛЕИВАНИЯ,nan,Вып. 4-й. Наш дом,nan,М.,Г. Ф. Мириманов,1925.0,nan,7.0,10000.0,0.75,nan
coloring,1918-1931,293,NOAUTHOR,nan,АЛЬБОМ ДЛЯ ВЫРЕЗЫВАНИЯ И СКЛЕИВАНИЯ,nan,Вып. 5-й. Цирк и зверинец. 1. Цирк. 2. Звери,nan,М.,Г. Ф. Мириманов,1925.0,nan,12.0,10000.0,0.75,nan
coloring,1918-1931,294,NOAUTHOR,nan,АЛЬБОМ ДЛЯ ВЫРЕЗЫВАНИЯ И СКЛЕИВАНИЯ,nan,Вып. 6-й. Красная армия,nan,М.,Г. Ф. Мириманов,1925.0,nan,7.0,10000.0,0.75,nan
coloring,1918-1931,295,NOAUTHOR,nan,АЛЬБОМ ДЛЯ ВЫРЕЗЫВАНИЯ И СКЛЕИВАНИЯ,nan,Вып. 9-й. Сост. В. Н. Денисов,nan,М.,Г. Ф. Мириманов,1925.0,nan,7.0,10000.0,0.75,nan
coloring,1918-1931,296,NOAUTHOR,nan,АЛЬБОМ ДЛЯ ВЫРЕЗЫВАНИЯ И СКЛЕИВАНИЯ,nan,Вып. 10-й. Игры на столе,nan,М.,Г. Ф. Мириманов,1926.0,nan,12.0,10000.0,0.75,nan
coloring,1918-1931,297,NOAUTHOR,nan,АЛЬБОМ ДЛЯ РАСКРАШИВАНИЯ СИНИМ И КРАСНЫМ КАРАНДАШОМ,nan,Рис. Коса.,nan,М.,Акад. пед. наук СССР,1925.0,nan,14.0,5000.0,0.6,nan
fic,1918-1931,298,NOAUTHOR,nan,АЛЬМАНАХ ДЛЯ ДЕТЕЙ И ЮНОШЕСТВА,Сборник новых произведений,Под ред. Я. Тугенхольда.,nan,М.,Известия ЦИК СССР и ВЦИК,1924.0,Библиотека «Красной нивы». Приложение к журн. «Красная нива»,106.0,15000.0,nan,nan
coloring,1918-1931,299,NOAUTHOR,nan,АЛЬБОМ РИСУНКОВ ДЛЯ ВЫПИЛИВАНИЯ,nan,nan,nan,М.,Г. Ф. Мириманов,1925.0,nan,7.0,10000.0,nan,nan
nonfic,1918-1931,300,"Альдим, Н.",АльдимН,Вокруг света без билета,Записки комсомольца,nan,nan,Л.,Прибой,1929.0,nan,166.0,nan,0.75,nan
nonfic,1918-1931,304,NOAUTHOR,nan,АМБАРНЫЕ ВРЕДИТЕЛИ И ДОМАШНИЕ ПАРАЗИТЫ И БОРЬБА С НИМИ,nan,Под ред. Н. В. Ставинского.,nan,Ростов-Ярославский,Акад. пед. наук СССР,1930.0,Ярославск. окр. бюро юных натуралистов. Библиотечка по борьбе с вредителями с.-х. культур,12.0,500.0,nan,nan
nonfic,1918-1931,314,"Амыльский, Н.",АмыльскийН,В стране светлых лесов и степей,Как живут и чем промышляют башкиры,nan,nan,М.,Работник просвещения,1929.0,Читальня советской школы,64.0,10000.0,0.25,nan
method,1918-1931,408,"Андреев, М.; Подугольников, М.",ПодугольниковМ,Кочевой лагерь,nan,nan,nan,М.; Саратов,Огиз—Молодая гвардия,1930.0,nan,72.0,10000.0,0.25,nan
method,1918-1931,411,Андрей,Андрей,Пионерам о Первом мае,Сборник материалов для пионеров и октябрят,nan,nan,Тифлис,Заккнига,1926.0,nan,31.0,2000.0,0.2,nan
nonfic,1918-1931,412,"Андре, Марти",АндреМ,Рис,Н. Купреянова,nan,nan,М.,Гиз,1930.0,nan,16.0,30000.0,0.4,nan
nonfic,1918-1931,413,"Андре, Марти",АндреМ,Рис,Н. Купреянова,Изд. 2-е,nan,М.,Огиз—Молодая гвардия,1931.0,nan,16.0,30000.0,0.4,nan
nonfic,1918-1931,414,"Андренко, Л.",АндренкоЛ,В царстве радио,nan,nan,nan,Харьков,Юный ленинец,1925.0,Библиотека юного ленинца,74.0,15000.0,0.21,nan
nonfic,1918-1931,415,"Андренко, Л.",АндренкоЛ,Среди планет,nan,Под ред. проф. Б. Герасимовича.,nan,Харьков,Юный ленинец,1924.0,Библиотека юного ленинца,52.0,10000.0,0.13,nan
method,1918-1931,416,"Андренко, Л.",АндренкоЛ,Юный астроном,Практическое руководство к астрономическим наблюдениям невооруженным глазом и небольшой трубой,"Сост. по Фламмариону, Покровскому и др. Под. ред. П. Барабашева.",nan,Харьков,Юный ленинец,1925.0,Библиотека юного ленинца,84.0,10000.0,0.28,nan
coloring,1918-1931,417,"Андреянов, Н.",АндреяновН,Рисование по клеткам. № 1,nan,nan,nan,Б. м.,Акад. пед. наук СССР,1924.0,nan,12.0,3500.0,nan,nan
coloring,1918-1931,418,"Андреянов, Н.",АндреяновН,Рисование по клеткам. № 2,nan,nan,nan,Б. м.,Акад. пед. наук СССР,1924.0,nan,12.0,3500.0,nan,nan
coloring,1918-1931,419,"Андреянов, Н.",АндреяновН,Рисование по клеткам. № 3,nan,nan,nan,М.,изд. автора,1925.0,nan,12.0,3500.0,nan,nan
coloring,1918-1931,420,"Андреянов, Н.",АндреяновН,Рисование по клеткам. № 4,nan,nan,nan,М.,изд. автора,1925.0,nan,12.0,3500.0,nan,nan
coloring,1918-1931,421,"Андреянов, Н.",АндреяновН,Рисунки для раскрашивания. № 1,nan,nan,nan,М.,изд. автора,1925.0,nan,16.0,4000.0,nan,nan
coloring,1918-1931,422,"Андреянов, Н.",АндреяновН,Рисунки для раскрашивания. № 2,nan,nan,nan,М.,изд. автора,1925.0,nan,16.0,4000.0,nan,nan
method,1918-1931,451,"Аникин, Г. Л.",АникинГЛ,Как сделать фотоаппарат с мехом и принадлежности к нему,nan,nan,nan,Н.-Новгород,Нижегородск. краев. детск. технич. станция при крайоно и крайбюро ДКО ЮП,1930.0,nan,5.0,5000.0,nan,nan
nonfic,1918-1931,453,"Анненская, А.",АнненскаяА,Фритиоф Нансен и его путешествия в Гренландию и к северному полюсу,nan,nan,nan,М.,Новая Москва,1922.0,nan,276.0,6000.0,nan,nan
method,1918-1931,454,"Антошин, С.",АнтошинС,Как пионеру разводить овощи,nan,nan,nan,М.; Л.,Огиз—Молодая гвардия,1927.0,Пионеры и сельское хозяйство,56.0,5000.0,0.35,nan
method,1918-1931,455,"Антошин, С.",АнтошинС,Пионеру о животноводстве,nan,nan,nan,М.; Л.,Огиз—Молодая гвардия,1927.0,Пионеры и сельское хозяйство,78.0,5000.0,0.5,nan
method,1918-1931,456,"Антошин, С.",АнтошинС,Работа в поле,nan,nan,nan,М.; Л.,Огиз—Молодая гвардия,1927.0,Пионеры и сельское хозяйство,40.0,5000.0,0.3,nan
method,1918-1931,459а,NOAUTHOR,nan,АППАРАТЫ ДЛЯ БОРЬБЫ С ВРЕДИТЕЛЯМИ,nan,nan,nan,М.; Л.,Огиз—Молодая гвардия,1930.0,Библиотечка журн. «Юный натуралист»,8.0,100000.0,0.2,nan
method,1918-1931,460,"Апетов, Е.",АпетовЕ,Поход курских городских пионеров,nan,nan,nan,Курск,изд. Горбюро пионеров при Горрайкоме ВЛКСМ,1930.0,За выполнение решений слета,32.0,2000.0,0.8,nan
nonfic,1918-1931,472,NOAUTHOR,nan,АРАБСКИЙ ГОРОД,nan,Рис. А. Рогинской.,nan,М.; Л.,Гиз,1930.0,nan,14.0,20000.0,0.35,nan
nonfic,1918-1931,481,"Аржанов, С. П.",АржановСП,Занимательная география,nan,Рис. Ю. Д. Скалдина.,nan,Л.,Время,1929.0,nan,199.0,6200.0,1.5,nan
nonfic,1918-1931,482,"Аржанов, С. П.",АржановСП,Занимательная география,nan,Изд. 2-е,nan,Л.,Время,1930.0,nan,192.0,6070.0,1.3,nan
nonfic,1918-1931,483,"Аристова, П. М.",АристоваПМ,Октябрьская революция,nan,Рис. А. Боровской.,nan,М.; Л.,Гиз,1927.0,nan,147.0,10000.0,0.75,nan
method,1918-1931,484,"Аронович, Ц.",АроновичЦ,"Пионер, к борьбе с религией будь готов",nan,nan,nan,Хабаровск,изд. Дальневост. совета Союза воинств. безбожников,1930.0,nan,22.0,2000.0,nan,nan
nonfic,1918-1931,488,"Арский, Р.",АрскийР,Что такое МОПР,nan,nan,nan,М.; Л.,Огиз—Молодая гвардия,1926.0,Беседы у костра,36.0,15000.0,0.12,nan
method,1918-1931,495,"Арцишевский, В. В.",АрцишевскийВВ,Утренняя гимнастика школьника и пионера,Шестнадцать комплексов упражнений  от 8 до 16 лет,Под ред. и с предисл. А. А. Жемчужникова.,nan,М.,Огиз — Учпедгиз,1931.0,nan,100.0,10000.0,0.6,nan
nonfic,1918-1931,511,"Ассанов, Н. А.",АссановНА,Домна,nan,Рис. Е. Ечеистова.,nan,М.,Гиз,1930.0,nan,12.0,20000.0,0.22,nan
nonfic,1918-1931,512,"Ассанов, Н. А.",АссановНА,Ледоколы,Радиостанции,Рис. М. Синяковой.,nan,М.; Л.,Гиз,1930.0,nan,32.0,75000.0,0.24,nan
fic,1918-1931,514,"Астафьева, Е.",АстафьеваЕ,Дети на солнце,Книжка-картинка,nan,nan,М.,Гиз,1930.0,nan,12.0,20000.0,0.22,nan
nonfic,1918-1931,515,"Астафьева, Е.",АстафьеваЕ,Индия,Книжка-картинка,nan,nan,М.,Огиз—Молодая гвардия,1931.0,nan,12.0,30000.0,0.22,nan
method,1918-1931,559,"Афанасьев, И. П.",АфанасьевИП,"Реостаты, как их рассчитать и построить",nan,nan,nan,Л.,Научное кн-во,1930.0,Библиотека журн. «В мастерской природы». Для умелых рук,136.0,5000.0,1.0,nan
method,1918-1931,560,"Афанасьев, Б. П.",АфанасьевБП,Химик-любитель. 50 опытов по химии  и дома,nan,nan,nan,Л.,Научное кн-во,1930.0,Библиотека журн. «В мастерской природы». Для умелых рук,96.0,5000.0,0.7,nan
method,1918-1931,563,"Афанасьева, А.; Берман, Л.",АфанасьеваА,Пионерские живые газеты,nan,nan,nan,Л.,Прибой,1928.0,nan,192.0,5000.0,1.0,nan
method,1918-1931,563,"Афанасьева, А.; Берман, Л.",БерманЛВ,Пионерские живые газеты,nan,nan,nan,Л.,Прибой,1928.0,nan,192.0,5000.0,1.0,nan
fic,1918-1931,564,"Афанасьева, А.; Туберовский, М.",АфанасьеваА,Самая скорая газета,nan,Фотомонтаж И. Каплан.,nan,М.; Л.,Огиз—Молодая гвардия,1931.0,nan,168.0,15000.0,0.75,nan
fic,1918-1931,568,"Афонский, П. И.",АфонскийПИ,Весенняя атака,nan,Рис. К. Ротова.,nan,М.; Л.,Огиз—Молодая гвардия,1930.0,nan,33.0,30000.0,0.1,nan
method,1918-1931,570,"Африканова, Н.",АфрикановаН,Юннаты за работой,nan,nan,nan,М.,Работник просвещения,1930.0,nan,52.0,4000.0,0.25,nan
fic,1918-1931,571,"Ахметьев, В. И.",АхметьевВИ,Лето,Книжка картинка,nan,nan,М.,Огиз—Молодая гвардия,1931.0,nan,12.0,50000.0,0.22,nan
nonfic,1918-1931,572,"Ахтырская, З.",АхтырскаяЗ,Степан Халтурин,Искусный полировщик,nan,nan,М.; Л.,Учпедгиз,1931.0,Рабочая библиотека школьника 1 ст. Серия биографическая,61.0,10000.0,0.25,nan
nonfic,1918-1931,573,"Ахтырская, З.",АхтырскаяЗ,Цареубийца,София Перовская,nan,nan,М.; Л.,Гиз,1930.0,Рабочая библиотека школьника 1 ст,55.0,10000.0,0.2,nan
fic,1918-1931,573а,"Ахшарумова, К.",АхшарумоваК,Гнедко,nan,nan,nan,М.,Ступин,1919.0,nan,40.0,nan,nan,nan
fic,1918-1931,580,Аэл,Аэл,Дети Персии,nan,Рис. Ф. Полищук.,nan,М.; Л.,Огиз—Молодая гвардия,1931.0,nan,48.0,15000.0,0.3,nan
method,1918-1931,581,NOAUTHOR,nan,АЭРОСАНИ,nan,nan,nan,Свердловск,Дом дет-комдвижения,1931.0,nan,4.0,1000.0,nan,nan
coloring,1918-1931,582,Б. С.,Б. С.,Маленьким художникам,Альбом для раскрашивания,nan,nan,Л.,изд. автора,1924.0,nan,28.0,5000.0,nan,nan
fic,1918-1931,601,NOAUTHOR,nan,БАБУШКА-ЗАБАВУШКА И СОБАЧКА БУМ,nan,nan,nan,М.,Новая деревня,1923.0,nan,12.0,10000.0,nan,nan
folk,1918-1931,602,NOAUTHOR,nan,БАБУШКА И КОЗЛИК,nan,Рис. Ястребовой.,nan,Саратов,изд. Саратовского полиграф-прома,nan,nan,10.0,3000.0,nan,nan
method,1918-1931,606,"Баде, Е.",БадеЕ,"Террариум, как его сделать, засадить и заселить",nan,nan,nan,Л.,Научное кн-во,1928.0,Библиотека журн. «В мастерской природы». Изучай природу,62.0,5000.0,0.45,nan
nonfic,1918-1931,625,"Байсутов, Н. И.",БайсутовНИ,В китайской деревне,nan,nan,nan,М.,Работник просвещения,1928.0,Читальня советской школы,79.0,10000.0,0.4,nan
nonfic,1918-1931,626,"Байсутов, Н. И.",БайсутовНИ,В песчаных степях,Как живут и чем промышляют туркмены,nan,nan,М.,Работник просвещения,1927.0,Читальня советской школы,49.0,5000.0,0.35,nan
nonfic,1918-1931,627,"Байсутов, Н. И.",БайсутовНИ,В песчаных степях,Как живут и чем промышляют туркмены,Изд. 2-е,nan,М.,Работник просвещения,1927.0,Читальня советской школы,52.0,10000.0,0.35,nan
nonfic,1918-1931,628,"Байсутов, Н. И.",БайсутовНИ,В стране самых больших морозов,Как живут и чем промышляют якуты,nan,nan,М.,Работник просвещения,1928.0,Читальня советской школы,65.0,10000.0,0.25,nan
fic,1918-1931,629,"Байсутов, Н. И.",БайсутовНИ,Красные пики,Пробуждающийся Китай. Сборник,nan,nan,М.,Работник просвещения,1928.0,Читальня советской школы,60.0,10000.0,0.35,nan
nonfic,1918-1931,630,"Байсутов, Н. И.",БайсутовНИ,Страна кочевников,Монголия,nan,nan,М.,Работник просвещения,1929.0,Читальня советской школы,95.0,10000.0,0.4,nan
nonfic,1918-1931,631,"Байсутов, Н. И.",БайсутовНИ,"Там, где растет хлопок",Как живут и чем промышляют узбеки,nan,nan,М.,Работник просвещения,1927.0,Читальня советской школы,64.0,5000.0,0.4,nan
nonfic,1918-1931,632,"Байсутов, Н. И.",БайсутовНИ,"Там, где растет хлопок",Как живут и чем промышляют узбеки,Изд. 2-е,nan,М.,Работник просвещения,1927.0,Читальня советской школы,64.0,10000.0,0.4,nan
nonfic,1918-1931,633,"Байсутов, Н. И.",БайсутовНИ,"Там, где растет хлопок",Как живут и чем промышляют узбеки,Изд. 3-е,nan,М.,Работник просвещения,1930.0,Читальня советской школы,64.0,5000.0,0.4,nan
nonfic,1918-1931,634,"Байсутов, Н. И.",БайсутовНИ,У теплого моря,Как живут и чем промышляют крымские татары,nan,nan,М.,Работник просвещения,1928.0,Читальня советской школы,56.0,10000.0,0.35,nan
