metagenre,vol,num,author,author_std,title,subtitle,editorial,genre,city,publisher,year,series,pages,printrun,price,contents
method,1918-1931,78,"Адамович, П. А.",АдамовичПА,Гудочек,Как самому сделать музыкальный инструмент,,,М.,Крестьянская газета,1928,Библиотека «Дружные ребята»,30,25000,0.1,
method,1918-1931,79,"Адамович, П. А.",АдамовичПА,Гудочек,Как самому сделать музыкальный инструмент,,,М.,Крестьянская газета,1929,Библиотека «Дружные ребята»,30,30000,0.1,
method,1918-1931,80,"Адамович, П. А.",АдамовичПА,Гудочек,Как самому сделать музыкальный инструмент,Изд. 2-е,,М.,Крестьянская газета,1931,Библиотека «Дружные ребята»,48,30000,0.1,
fic,1918-1931,81,"Адольф, Н.",АдольфН,Забастовка,,,,М.,Огиз—Молодая гвардия,1931,,32,25000,0.3,
fic,1918-1931,86,"Азаров, К.; Мазуркевич, В.",АзаровК,Ковер-самолет,,,,Л.; М.,Радуга,1926,,11,30000,0.23,
fic,1918-1931,86,"Азаров, К.; Мазуркевич, В.",МазуркевичВ,Ковер-самолет,,,,Л.; М.,Радуга,1926,,11,30000,0.23,
fic,1918-1931,87,"Азаров, К.; Мазуркевич, В.",АзаровК,Ковер-самолет,,Изд. 3-е,,Л.,Радуга,1930,,11,80000,0.1,
fic,1918-1931,87,"Азаров, К.; Мазуркевич, В.",МазуркевичВ,Ковер-самолет,,Изд. 3-е,,Л.,Радуга,1930,,11,80000,0.1,
method,1918-1931,88,NOAUTHOR,,АЗБУКА,,Рис. Н. Лемана.,,М.,Акад. пед. наук СССР,1924,,32,3000,,
method,1918-1931,88а,NOAUTHOR,,АЗБУКА,,Изд. 2-е,,М.,изд. автора,1924,,32,10000,,
method,1918-1931,89,NOAUTHOR,,АЗБУКА,,Рис. А. Ананова.,,Л.,Радуга,1924,,14,20000,,
coloring,1918-1931,90,NOAUTHOR,,АЗБУКА,Раскраска,Рис. Бруни и Коршикова.,,Л.; М.,Радуга,1928,,10,20000,0.3,
coloring,1918-1931,91,NOAUTHOR,,АЗБУКА-КРОШКА,,,,Одесса,БИП,1928,,12,10000,0.6,
method,1918-1931,92,NOAUTHOR,,АЗЕРБАЙДЖАНСКАЯ ПИОНЕРИЯ К VIII СЪЕЗДУ АЛКСМ,,,,Баку,ЦБ ДКО при ЦК AЛKCM,1929,,27,2000,,
method,1918-1931,95,"Акодус, Я. И.",АкодусЯИ,Будь готов к санитарной обороне,,,,М.,Огиз—Молодая гвардия,1930,"Библиотека пионера-активиста. Серия «Пионер, крепи оборону страны»",32,15000,0.12,
method,1918-1931,96,"Акодус, Я. И.",АкодусЯИ,Будь готов к санитарной обороне,,Изд. 2-е,,М.; Л.,Огиз—Молодая гвардия,1931,"Библиотека пионера-активиста. Серия «Пионер, крепи оборону страны»",32,30100,0.12,
fic,1918-1931,97,Аксагорская,Аксагорская,Серпок и молоток,,Рис. А. Комарова.,,М.,Г. Ф. Мириманов,1925,Библиотека школьника,23,10000,0.35,
nonfic,1918-1931,100,"Актан, Г. А.[Гильгендорф].",АктанГА,Белая шахта,Экскурсия на соляной рудник в Донбассе,,,М.; Л.,Огиз—Молодая гвардия,1926,Библиотека юного пионера,70,10000,0.25,
method,1918-1931,101,"Актан, Г. А.[Гильгендорф].",АктанГА,Пионерам о Красном флоте,,Предисл. В.  Зофа.,,М.,Новая Москва,1925,Библиотека юного пионера,76,10000,0.3,
method,1918-1931,102,"Актан, Г. А.[Гильгендорф].",АктанГА,"Пионерам о лыжах, коньках и салазках",,,,М.,Новая Москва,1925,Библиотека юного пионера,75,10000,0.3,
method,1918-1931,103,"Актан, Г. А.[Гильгендорф].",АктанГА,"Пионерам о лыжах, коньках и салазках",,Изд. 2-е,,М.,Огиз—Физкультура и туризм,1931,Библиотека юного пионера,40,10000,0.45,
method,1918-1931,104,"Акулов, Ф.",АкуловФ,Отцы и дети,Профсоюзы и пионеры,,,М.,Огиз—Молодая гвардия,1929,Библиотека пионерского слета. Серия «В дни слета»,39,15000,0.1,
fic,1918-1931,147,NOAUTHOR,,АЛАДИН и ВОЛШЕБНАЯ ЛАМПА,,Рис. Н. Ульянова.,,М.,I. Кнебель,1918,,10,5000,,
nonfic,1918-1931,150,"Алампиев, П.",АлампиевП,История транспорта,,,,Харьков,Всеукр. о-во содейств. юному ленинцу,1925,Библиотека юного ленинца,52,10000,0.14,
nonfic,1918-1931,186,"Албычев, П.; Чикин, А.",ЧикинАА,Стереоскоп,,,,Л.,Научное кн-во,1928,Библиотека журн. «В мастерской природы». Для умелых рук,43,5000,0.45,
method,1918-1931,187,"Алдошин, Н.",АлдошинН,Детская куроводная артель,,,,Орел,изд. Орловск. окр. бюро ДКО и ДТСХС,1930,,15,800,,
method,1918-1931,188,"Алдошин, Н.",АлдошинН,Детский колхоз,,,,Орел,изд. Орловск. окр. бюро ДКО и ДТСХС,1930,,20,800,,
fic,1918-1931,192,"Александров, В.",АлександровВ,О Лене,,,,Харьков,Юный ленинец,1925,Библиотека юного ленинца,68,20000,0.2,
nonfic,1918-1931,193,"Александров, В.; Котов, И.; Мушкин, М.",АлександровВ,Фабрика имени Степана Халтурина,,,,М.,Учпедгиз,1931,Рабкоры-ударники—политехнической школе. Серия под общей редакцией М. А. Сергеева,88,15000,0.45,
nonfic,1918-1931,193,"Александров, В.; Котов, И.; Мушкин, М.",КотовИ,Фабрика имени Степана Халтурина,,,,М.,Учпедгиз,1931,Рабкоры-ударники—политехнической школе. Серия под общей редакцией М. А. Сергеева,88,15000,0.45,
nonfic,1918-1931,193,"Александров, В.; Котов, И.; Мушкин, М.",МушкинМ,Фабрика имени Степана Халтурина,,,,М.,Учпедгиз,1931,Рабкоры-ударники—политехнической школе. Серия под общей редакцией М. А. Сергеева,88,15000,0.45,
fic,1918-1931,199,"Алексеев, В.",АлексеевВ,Сэм и Дик,Эпизод из эпохи гражданской войны Северо-Америк. штатов,Рис. М. Шервинской.,,М.,Работник просвещения,1928,Читальня советской школы,35,10000,0.22,
nonfic,1918-1931,209,"Алелекков, Л.",АлелекковЛ,Фабрика инженеров,,,,М.,Огиз—Молодая гвардия,1930,Деритесь за политехнизм,48,30100,0.13,
fic,1918-1931,211,"Алешин, В.",АлешинВ,Пирог,,,,М.,Гиз,1928,Новая детская библиотека,14,35000,0.5,
method,1918-1931,212,"Алешин, В.",АлешинВ,Отдых юного пионера,,,,Ростов-Дон,Акад. пед. наук СССР,1925,Библиотека пионера,34,10000,0.15,
fic,1918-1931,213,NOAUTHOR,,АЛИ-БАБА или СОРОК РАЗБОЙНИКОВ,,,,М.,И. Д. Сытин,1918,,39,10000,,
coloring,1918-1931,281,Алфеевский; Лебедева,Алфеевский,На якоре,Книжка-картинка,,,М.,Огиз—Молодая гвардия,1931,,12,25000,0.3,
coloring,1918-1931,281,Алфеевский; Лебедева,ЛебедеваТ,На якоре,Книжка-картинка,,,М.,Огиз—Молодая гвардия,1931,,12,25000,0.3,
coloring,1918-1931,282,Алфеевский; Лебедева,Алфеевский,Парк культуры и отдыха,Книжка-картинка,,,М.,Гиз,1930,,16,25000,0.4,
coloring,1918-1931,282,Алфеевский; Лебедева,ЛебедеваТ,Парк культуры и отдыха,Книжка-картинка,,,М.,Гиз,1930,,16,25000,0.4,
fic,1918-1931,288,"Алымов, В.",АлымовВ,Лопари,,,,М.,Крестьянская газета,1930,Библиотека «Дружные ребята»,63,30000,0.15,
coloring,1918-1931,289,NOAUTHOR,,АЛЬБОМ ДЛЯ ВЫПИЛИВАНИЯ,,,,Л.,Акад. пед. наук СССР,1929,Библиотека журн. «В мастерской природы»,16,5000,1,
coloring,1918-1931,290,NOAUTHOR,,АЛЬБОМ ДЛЯ ВЫРЕЗЫВАНИЯ И СКЛЕИВАНИЯ,,,,М.,Акад. пед. наук СССР,1924,,6,10000,,
coloring,1918-1931,291,NOAUTHOR,,АЛЬБОМ ДЛЯ ВЫРЕЗЫВАНИЯ И СКЛЕИВАНИЯ,,Вып. 1-й. В. Денисов. Модели,,М.,Г. Ф. Мириманов,,,,,0.75,
coloring,1918-1931,291а,NOAUTHOR,,АЛЬБОМ ДЛЯ ВЫРЕЗЫВАНИЯ И СКЛЕИВАНИЯ,,Вып. 3-й. Игрушки-самоделки,,М.,Г. Ф. Мириманов,1925,,7,10000,0.75,
coloring,1918-1931,292,NOAUTHOR,,АЛЬБОМ ДЛЯ ВЫРЕЗЫВАНИЯ И СКЛЕИВАНИЯ,,Вып. 4-й. Наш дом,,М.,Г. Ф. Мириманов,1925,,7,10000,0.75,
coloring,1918-1931,293,NOAUTHOR,,АЛЬБОМ ДЛЯ ВЫРЕЗЫВАНИЯ И СКЛЕИВАНИЯ,,Вып. 5-й. Цирк и зверинец. 1. Цирк. 2. Звери,,М.,Г. Ф. Мириманов,1925,,12,10000,0.75,
coloring,1918-1931,294,NOAUTHOR,,АЛЬБОМ ДЛЯ ВЫРЕЗЫВАНИЯ И СКЛЕИВАНИЯ,,Вып. 6-й. Красная армия,,М.,Г. Ф. Мириманов,1925,,7,10000,0.75,
coloring,1918-1931,295,NOAUTHOR,,АЛЬБОМ ДЛЯ ВЫРЕЗЫВАНИЯ И СКЛЕИВАНИЯ,,Вып. 9-й. Сост. В. Н. Денисов,,М.,Г. Ф. Мириманов,1925,,7,10000,0.75,
coloring,1918-1931,296,NOAUTHOR,,АЛЬБОМ ДЛЯ ВЫРЕЗЫВАНИЯ И СКЛЕИВАНИЯ,,Вып. 10-й. Игры на столе,,М.,Г. Ф. Мириманов,1926,,12,10000,0.75,
coloring,1918-1931,297,NOAUTHOR,,АЛЬБОМ ДЛЯ РАСКРАШИВАНИЯ СИНИМ И КРАСНЫМ КАРАНДАШОМ,,Рис. Коса.,,М.,Акад. пед. наук СССР,1925,,14,5000,0.6,
fic,1918-1931,298,NOAUTHOR,,АЛЬМАНАХ ДЛЯ ДЕТЕЙ И ЮНОШЕСТВА,Сборник новых произведений,Под ред. Я. Тугенхольда.,,М.,Известия ЦИК СССР и ВЦИК,1924,Библиотека «Красной нивы». Приложение к журн. «Красная нива»,106,15000,,
coloring,1918-1931,299,NOAUTHOR,,АЛЬБОМ РИСУНКОВ ДЛЯ ВЫПИЛИВАНИЯ,,,,М.,Г. Ф. Мириманов,1925,,7,10000,,
nonfic,1918-1931,300,"Альдим, Н.",АльдимН,Вокруг света без билета,Записки комсомольца,,,Л.,Прибой,1929,,166,,0.75,
nonfic,1918-1931,304,NOAUTHOR,,АМБАРНЫЕ ВРЕДИТЕЛИ И ДОМАШНИЕ ПАРАЗИТЫ И БОРЬБА С НИМИ,,Под ред. Н. В. Ставинского.,,Ростов-Ярославский,Акад. пед. наук СССР,1930,Ярославск. окр. бюро юных натуралистов. Библиотечка по борьбе с вредителями с.-х. культур,12,500,,
nonfic,1918-1931,314,"Амыльский, Н.",АмыльскийН,В стране светлых лесов и степей,Как живут и чем промышляют башкиры,,,М.,Работник просвещения,1929,Читальня советской школы,64,10000,0.25,
fic,1918-1931,408,"Андреев, М.; Подугольников, М.",ПодугольниковМ,Кочевой лагерь,,,,М.; Саратов,Огиз—Молодая гвардия,1930,,72,10000,0.25,
method,1918-1931,411,Андрей,Андрей,Пионерам о Первом мае,Сборник материалов для пионеров и октябрят,,,Тифлис,Заккнига,1926,,31,2000,0.2,
fic,1918-1931,412,"Андре, Марти",АндреМ,Рис,Н. Купреянова,,,М.,Гиз,1930,,16,30000,0.4,
nonfic,1918-1931,413,"Андре, Марти",АндреМ,Рис,Н. Купреянова,Изд. 2-е,,М.,Огиз—Молодая гвардия,1931,,16,30000,0.4,
nonfic,1918-1931,414,"Андренко, Л.",АндренкоЛ,В царстве радио,,,,Харьков,Юный ленинец,1925,Библиотека юного ленинца,74,15000,0.21,
nonfic,1918-1931,415,"Андренко, Л.",АндренкоЛ,Среди планет,,Под ред. проф. Б. Герасимовича.,,Харьков,Юный ленинец,1924,Библиотека юного ленинца,52,10000,0.13,
nonfic,1918-1931,416,"Андренко, Л.",АндренкоЛ,Юный астроном,Практическое руководство к астрономическим наблюдениям невооруженным глазом и небольшой трубой,"Сост. по Фламмариону, Покровскому и др. Под. ред. П. Барабашева.",,Харьков,Юный ленинец,1925,Библиотека юного ленинца,84,10000,0.28,
coloring,1918-1931,417,"Андреянов, Н.",АндреяновН,Рисование по клеткам. № 1,,,,Б. м.,Акад. пед. наук СССР,1924,,12,3500,,
coloring,1918-1931,418,"Андреянов, Н.",АндреяновН,Рисование по клеткам. № 2,,,,Б. м.,Акад. пед. наук СССР,1924,,12,3500,,
coloring,1918-1931,419,"Андреянов, Н.",АндреяновН,Рисование по клеткам. № 3,,,,М.,изд. автора,1925,,12,3500,,
coloring,1918-1931,420,"Андреянов, Н.",АндреяновН,Рисование по клеткам. № 4,,,,М.,изд. автора,1925,,12,3500,,
coloring,1918-1931,421,"Андреянов, Н.",АндреяновН,Рисунки для раскрашивания. № 1,,,,М.,изд. автора,1925,,16,4000,,
coloring,1918-1931,422,"Андреянов, Н.",АндреяновН,Рисунки для раскрашивания. № 2,,,,М.,изд. автора,1925,,16,4000,,
method,1918-1931,451,"Аникин, Г. Л.",АникинГЛ,Как сделать фотоаппарат с мехом и принадлежности к нему,,,,Н.-Новгород,Нижегородск. краев. детск. технич. станция при крайоно и крайбюро ДКО ЮП,1930,,5,5000,,
nonfic,1918-1931,453,"Анненская, А.",АнненскаяА,Фритиоф Нансен и его путешествия в Гренландию и к северному полюсу,,,,М.,Новая Москва,1922,,276,6000,,
method,1918-1931,454,"Антошин, С.",АнтошинС,Как пионеру разводить овощи,,,,М.; Л.,Огиз—Молодая гвардия,1927,Пионеры и сельское хозяйство,56,5000,0.35,
method,1918-1931,455,"Антошин, С.",АнтошинС,Пионеру о животноводстве,,,,М.; Л.,Огиз—Молодая гвардия,1927,Пионеры и сельское хозяйство,78,5000,0.5,
method,1918-1931,456,"Антошин, С.",АнтошинС,Работа в поле,,,,М.; Л.,Огиз—Молодая гвардия,1927,Пионеры и сельское хозяйство,40,5000,0.3,
nonfic,1918-1931,459а,NOAUTHOR,,АППАРАТЫ ДЛЯ БОРЬБЫ С ВРЕДИТЕЛЯМИ,,,,М.; Л.,Огиз—Молодая гвардия,1930,Библиотечка журн. «Юный натуралист»,8,100000,0.2,
method,1918-1931,460,"Апетов, Е.",АпетовЕ,Поход курских городских пионеров,,,,Курск,изд. Горбюро пионеров при Горрайкоме ВЛКСМ,1930,За выполнение решений слета,32,2000,0.8,
fic,1918-1931,472,NOAUTHOR,,АРАБСКИЙ ГОРОД,,Рис. А. Рогинской.,,М.; Л.,Гиз,1930,,14,20000,0.35,
nonfic,1918-1931,481,"Аржанов, С. П.",АржановСП,Занимательная география,,Рис. Ю. Д. Скалдина.,,Л.,Время,1929,,199,6200,1.5,
nonfic,1918-1931,482,"Аржанов, С. П.",АржановСП,Занимательная география,,Изд. 2-е,,Л.,Время,1930,,192,6070,1.3,
nonfic,1918-1931,483,"Аристова, П. М.",АристоваПМ,Октябрьская революция,,Рис. А. Боровской.,,М.; Л.,Гиз,1927,,147,10000,0.75,
method,1918-1931,484,"Аронович, Ц.",АроновичЦ,"Пионер, к борьбе с религией будь готов",,,,Хабаровск,изд. Дальневост. совета Союза воинств. безбожников,1930,,22,2000,,
nonfic,1918-1931,488,"Арский, Р.",АрскийР,Что такое МОПР,,,,М.; Л.,Огиз—Молодая гвардия,1926,Беседы у костра,36,15000,0.12,
method,1918-1931,495,"Арцишевский, В. В.",АрцишевскийВВ,Утренняя гимнастика школьника и пионера,Шестнадцать комплексов упражнений  от 8 до 16 лет,Под ред. и с предисл. А. А. Жемчужникова.,,М.,Огиз — Учпедгиз,1931,,100,10000,0.6,
fic,1918-1931,511,"Ассанов, Н. А.",АссановНА,Домна,,Рис. Е. Ечеистова.,,М.,Гиз,1930,,12,20000,0.22,
nonfic,1918-1931,512,"Ассанов, Н. А.",АссановНА,Ледоколы,Радиостанции,Рис. М. Синяковой.,,М.; Л.,Гиз,1930,,32,75000,0.24,
coloring,1918-1931,514,"Астафьева, Е.",АстафьеваЕ,Дети на солнце,Книжка-картинка,,,М.,Гиз,1930,,12,20000,0.22,
coloring,1918-1931,515,"Астафьева, Е.",АстафьеваЕ,Индия,Книжка-картинка,,,М.,Огиз—Молодая гвардия,1931,,12,30000,0.22,
nonfic,1918-1931,559,"Афанасьев, И. П.",АфанасьевИП,"Реостаты, как их рассчитать и построить",,,,Л.,Научное кн-во,1930,Библиотека журн. «В мастерской природы». Для умелых рук,136,5000,1,
method,1918-1931,560,"Афанасьев, Б. П.",АфанасьевБП,Химик-любитель. 50 опытов по химии  и дома,,,,Л.,Научное кн-во,1930,Библиотека журн. «В мастерской природы». Для умелых рук,96,5000,0.7,
method,1918-1931,563,"Афанасьева, А.; Берман, Л.",АфанасьеваА,Пионерские живые газеты,,,,Л.,Прибой,1928,,192,5000,1,
method,1918-1931,563,"Афанасьева, А.; Берман, Л.",БерманЛВ,Пионерские живые газеты,,,,Л.,Прибой,1928,,192,5000,1,
fic,1918-1931,564,"Афанасьева, А.; Туберовский, М.",АфанасьеваА,Самая скорая газета,,Фотомонтаж И. Каплан.,,М.; Л.,Огиз—Молодая гвардия,1931,,168,15000,0.75,
fic,1918-1931,568,"Афонский, П. И.",АфонскийПИ,Весенняя атака,,Рис. К. Ротова.,,М.; Л.,Огиз—Молодая гвардия,1930,,33,30000,0.1,
method,1918-1931,570,"Африканова, Н.",АфрикановаН,Юннаты за работой,,,,М.,Работник просвещения,1930,,52,4000,0.25,
coloring,1918-1931,571,"Ахметьев, В. И.",АхметьевВИ,Лето,Книжка картинка,,,М.,Огиз—Молодая гвардия,1931,,12,50000,0.22,
nonfic,1918-1931,572,"Ахтырская, З.",АхтырскаяЗ,Степан Халтурин,Искусный полировщик,,,М.; Л.,Учпедгиз,1931,Рабочая библиотека школьника 1 ст. Серия биографическая,61,10000,0.25,
nonfic,1918-1931,573,"Ахтырская, З.",АхтырскаяЗ,Цареубийца,София Перовская,,,М.; Л.,Гиз,1930,Рабочая библиотека школьника 1 ст,55,10000,0.2,
fic,1918-1931,573а,"Ахшарумова, К.",АхшарумоваК,Гнедко,,,,М.,Ступин,1919,,40,,,
fic,1918-1931,580,Аэл,Аэл,Дети Персии,,Рис. Ф. Полищук.,,М.; Л.,Огиз—Молодая гвардия,1931,,48,15000,0.3,
method,1918-1931,581,NOAUTHOR,,АЭРОСАНИ,,,,Свердловск,Дом дет-комдвижения,1931,,4,1000,,
coloring,1918-1931,582,Б. С.,Б. С.,Маленьким художникам,Альбом для раскрашивания,,,Л.,изд. автора,1924,,28,5000,,
fic,1918-1931,601,NOAUTHOR,,БАБУШКА-ЗАБАВУШКА И СОБАЧКА БУМ,,,,М.,Новая деревня,1923,,12,10000,,
folk,1918-1931,602,NOAUTHOR,,БАБУШКА И КОЗЛИК,,Рис. Ястребовой.,,Саратов,изд. Саратовского полиграф-прома,,,10,3000,,
method,1918-1931,606,"Баде, Е.",БадеЕ,"Террариум, как его сделать, засадить и заселить",,,,Л.,Научное кн-во,1928,Библиотека журн. «В мастерской природы». Изучай природу,62,5000,0.45,
fic,1918-1931,625,"Байсутов, Н. И.",БайсутовНИ,В китайской деревне,,,,М.,Работник просвещения,1928,Читальня советской школы,79,10000,0.4,
nonfic,1918-1931,626,"Байсутов, Н. И.",БайсутовНИ,В песчаных степях,Как живут и чем промышляют туркмены,,,М.,Работник просвещения,1927,Читальня советской школы,49,5000,0.35,
nonfic,1918-1931,627,"Байсутов, Н. И.",БайсутовНИ,В песчаных степях,Как живут и чем промышляют туркмены,Изд. 2-е,,М.,Работник просвещения,1927,Читальня советской школы,52,10000,0.35,
nonfic,1918-1931,628,"Байсутов, Н. И.",БайсутовНИ,В стране самых больших морозов,Как живут и чем промышляют якуты,,,М.,Работник просвещения,1928,Читальня советской школы,65,10000,0.25,
nonfic,1918-1931,629,"Байсутов, Н. И.",БайсутовНИ,Красные пики,Пробуждающийся Китай. Сборник,,,М.,Работник просвещения,1928,Читальня советской школы,60,10000,0.35,
nonfic,1918-1931,630,"Байсутов, Н. И.",БайсутовНИ,Страна кочевников,Монголия,,,М.,Работник просвещения,1929,Читальня советской школы,95,10000,0.4,
nonfic,1918-1931,631,"Байсутов, Н. И.",БайсутовНИ,"Там, где растет хлопок",Как живут и чем промышляют узбеки,,,М.,Работник просвещения,1927,Читальня советской школы,64,5000,0.4,
nonfic,1918-1931,632,"Байсутов, Н. И.",БайсутовНИ,"Там, где растет хлопок",Как живут и чем промышляют узбеки,Изд. 2-е,,М.,Работник просвещения,1927,Читальня советской школы,64,10000,0.4,
nonfic,1918-1931,633,"Байсутов, Н. И.",БайсутовНИ,"Там, где растет хлопок",Как живут и чем промышляют узбеки,Изд. 3-е,,М.,Работник просвещения,1930,Читальня советской школы,64,5000,0.4,
nonfic,1918-1931,634,"Байсутов, Н. И.",БайсутовНИ,У теплого моря,Как живут и чем промышляют крымские татары,,,М.,Работник просвещения,1928,Читальня советской школы,56,10000,0.35,
method,1918-1931,636,БАМАТЕР,БаматтерЗ,Международная детская неделя,,,,М.,Новая Москва,1925,Библиотека юного пионера,32,15000,0.8,
method,1918-1931,638,"Банчик, Е. П.",БанчикЕП,Пионеру о химической войне,,,,М.,Новая Москва,1925,Библиотека юного пионера,71,15000,0.4,
fic,1918-1931,724,"Барто, А.; Ечеистов, Г.",ЕчеистовГ,Жара-жарища,,,,Киев,Культура,1929,,11,30000,0.15,
fic,1918-1931,725,"Барто, А.; Ечеистов, Г.",ЕчеистовГ,Жара-жарища,,,,Киев,Культура,1929,,11,30000,0.13,
method,1918-1931,733,"Бартрам, Н.",БартрамН,Игры с масками и уборами,,,,М.; Л.,Гиз,1926,Своими руками,61,10000,0.55,
coloring,1918-1931,760,"Басманов, П.",БасмановП,День птиц,Картинки с текстом,,,М.,Гиз,1930,,11,30000,0.22,
nonfic,1918-1931,761,"Басс, Р.",БассР,Мирские Захребетники,,,,М.; Л.,Огиз—Молодая гвардия,1930,Библиотека юного натуралиста,48,10000,0.2,
nonfic,1918-1931,762,"Басс, Р.",БассР,Мирские Захребетники,,Изд. 2-е,,М.,Огиз—Молодая гвардия,1931,Библиотека юного натуралиста,64,10000,0.2,
method,1918-1931,766,NOAUTHOR,,БАУМАНЦЫ,Живые дела бауманских пионеров и школьников,,,М.,изд. бюро ДКО баум. РК ВЛКСМ,1929,,78,2000,,
nonfic,1918-1931,771,"Бахарев, А.",БахаревА,В мастерской растений,Питомник И. В. Мичурина,,,М.,Крестьянская газета,1930,Библиотека «Дружные ребята»,80,60000,0.18,
fic,1918-1931,792,NOAUTHOR,,БЕЖИМ В СТРАНУ КРАСНОКОЖИХ,Замечательные приключения храбрых юных путешественников,,,П.,Книга,1923,,60,3000,,
nonfic,1918-1931,793,"Безбородов, С.",БезбородовС,Сигналы,Об антисемитизме,,,Л.,Красная газета,1929,Библиотека юного пролетария,61,10000,0.25,
fic,1918-1931,796,"Безыменский, А.",БезыменскийА,Товарищ Вова-инженер,,Рис. Б. Титова.,,Харьков,Пролетарий,1930,,13,15000,0.3,
fic,1918-1931,809,NOAUTHOR,,БЕЛКА БОБОЧКА,Приключения одной белочки,Рис. С. Гольдмана.,,Одесса,Одессполиграф,1926,,16,3000,0.6,
fic,1918-1931,810,NOAUTHOR,,БЕЛКА БОБОЧКА,Приключения одной белочки,Рис. С. Гольдмана.,,Одесса,Одессполиграф,1927,,16,3000,0.5,
nonfic,1918-1931,812,"Белопольский, И. Р.",БелопольскийИР,Календарь ежедневных научных наблюдений,,,,М.,Начатки знаний,1918,,16,,,
nonfic,1918-1931,813,"Белопольский, И. Р.",БелопольскийИР,Календарь ежедневных научных наблюдений,,Изд. 2-е,,М.,Начатки знаний,1919,Библиотека для детей и юношества,16,10000,,
method,1918-1931,819,"Белоусов, С. Д.",БелоусовСД,Как заложить и использовать культурный гектар,,,,Ростов-Дон,Акад. пед. наук СССР,1929,Детск. технич. и с.-х. станция Сев.-Кавказск. краевая при крайкоме ВЛКСМ и крайоно,4,10000,,
nonfic,1918-1931,830а,"Беляев, М.",БеляевММ,Жизнь животных и растений,,,,М.; Л.,Гиз,1929,Рабочая библиотека школьника 1 ст,370,5000,1.85,
nonfic,1918-1931,831,"Беляев, М.",БеляевММ,Жизнь животных и растений,,Изд. 2-е,,М.; Л.,Гиз,1930,Рабочая библиотека школьника 1 ст,352,20000,1.4,
nonfic,1918-1931,831а,"Беляев, М.; Дормидонтов, В.",БеляевММ,Домашние рыбы,О рыболовстве и прудовом хозяйстве,,,М.; Л.,Гиз,1927,В помощь школьнику,74,3000,0.4,
nonfic,1918-1931,831а,"Беляев, М.; Дормидонтов, В.",ДормидонтовВГ,Домашние рыбы,О рыболовстве и прудовом хозяйстве,,,М.; Л.,Гиз,1927,В помощь школьнику,74,3000,0.4,
